Ticker,Company,GICS Sector,Source,Snapshot Date
MSFT,Microsoft,Information Technology,S&P 100 sector-stratified project subset,2026-08-14
NVDA,NVIDIA,Information Technology,S&P 100 sector-stratified project subset,2026-08-14
GOOG,Alphabet Class C,Communication Services,S&P 100 sector-stratified project subset,2026-08-14
META,Meta Platforms,Communication Services,S&P 100 sector-stratified project subset,2026-08-14
AMZN,Amazon,Consumer Discretionary,S&P 100 sector-stratified project subset,2026-08-14
TSLA,Tesla,Consumer Discretionary,S&P 100 sector-stratified project subset,2026-08-14
WMT,Walmart,Consumer Staples,S&P 100 sector-stratified project subset,2026-08-14
PG,Procter & Gamble,Consumer Staples,S&P 100 sector-stratified project subset,2026-08-14
JNJ,Johnson & Johnson,Health Care,S&P 100 sector-stratified project subset,2026-08-14
LLY,Eli Lilly,Health Care,S&P 100 sector-stratified project subset,2026-08-14
JPM,JPMorgan Chase,Financials,S&P 100 sector-stratified project subset,2026-08-14
BRK-B,Berkshire Hathaway Class B,Financials,S&P 100 sector-stratified project subset,2026-08-14
CAT,Caterpillar,Industrials,S&P 100 sector-stratified project subset,2026-08-14
UNP,Union Pacific,Industrials,S&P 100 sector-stratified project subset,2026-08-14
XOM,Exxon Mobil,Energy,S&P 100 sector-stratified project subset,2026-08-14
NEE,NextEra Energy,Utilities,S&P 100 sector-stratified project subset,2026-08-14
LIN,Linde,Materials,S&P 100 sector-stratified project subset,2026-08-14
AMT,American Tower,Real Estate,S&P 100 sector-stratified project subset,2026-08-14
